ID	Labels	InitialLabels
10936	Joy	Joy
7004	Joy	Joy
6877	Anger	Anger
8555	Neutral	Neutral
7878	Neutral	Neutral
6635	Anger	Anger
6995	Anger	Anger
10013	Joy	Joy
10041	Neutral	Neutral
8652	Neutral	Neutral
12048	Joy	Joy
9359	Neutral	Neutral
7459	Anger	Neutral
7220	Joy	Joy
6761	Neutral	Neutral
12041	Joy	Joy
7952	Neutral	Neutral
9083	Anger	Anger
12714	Love	Love
12376	Sadness	Sadness
7128	Joy	Joy
9759	Anger	Anger
10132	Joy	Joy
9836	Sadness	Sadness
11708	Joy	Joy
12641	Anger	Anger
8363	Joy	Joy
10808	Joy	Joy
9373	Neutral	Neutral
7222	Anger	Anger
12584	Neutral	Neutral
10212	Sadness	Sadness
7944	Fear	Neutral
10191	Joy	Joy
11960	Neutral	Neutral
10208	Love	Love
9793	Joy	Joy
10562	Joy	Joy
11939	Fear	Fear
11273	Neutral	Neutral
12131	Neutral	Neutral
8708	Joy	Joy
7968	Neutral	Neutral
7994	Sadness	Sadness
11013	Joy	Neutral
8353	Anger	Anger
11439	Joy	Neutral
10067	Joy	Joy
9820	Neutral	Neutral
10169	Anger	Anger
8995	Fear	Fear
10613	Neutral	Neutral
8103	Neutral	Neutral
10200	Neutral	Neutral
7910	Anger	Anger
7254	Joy	Joy
12569	Love	Love
9381	Anger	Anger
7682	Neutral	Neutral
9280	Neutral	Neutral
10177	Neutral	Neutral
6727	Neutral	Neutral
9347	Neutral	Neutral
9821	Joy	Joy
8628	Sadness	Sadness
12251	Neutral	Neutral
11633	Joy	Joy
6880	Joy	Joy
6624	Neutral	Neutral
11333	Neutral	Neutral
9725	Neutral	Neutral
8568	Joy	Joy
10938	Neutral	Neutral
12612	Joy	Joy
12824	Sadness	Sadness
12379	Neutral	Neutral
7603	Fear	Fear
12013	Neutral	Neutral
7309	Neutral	Neutral
10088	Neutral	Neutral
11384	Joy	Joy
9255	Neutral	Neutral
12799	Neutral	Neutral
12806	Fear	Neutral
10424	Fear	Neutral
9031	Anger	Anger
12386	Neutral	Neutral
7171	Joy	Joy
7791	Neutral	Neutral
7708	Anger	Anger
9644	Fear	Neutral
8024	Fear	Fear
9549	Neutral	Neutral
7239	Neutral	Neutral
9938	Neutral	Neutral
8694	Joy	Joy
12497	Sadness	Sadness
6628	Neutral	Neutral
11152	Anger	Anger
10145	Joy	Joy
7764	Sadness	Sadness
10245	Anger	Anger
8336	Neutral	Neutral
10757	Neutral	Neutral
9133	Fear	Fear
9395	Neutral	Neutral
6604	Anger	Anger
10429	Sadness	Sadness
9037	Joy	Joy
12105	Joy	Joy
12273	Joy	Neutral
8842	Anger	Anger
7298	Joy	Joy
6788	Anger	Neutral
8206	Neutral	Neutral
10246	Joy	Neutral
11864	Neutral	Neutral
6695	Joy	Joy
11472	Neutral	Neutral
9629	Fear	Fear
10377	Sadness	Sadness
9327	Joy	Joy
9558	Neutral	Neutral
7676	Joy	Joy
8188	Fear	Fear
8077	Neutral	Neutral
9545	Fear	Fear
9406	Neutral	Neutral
8307	Neutral	Neutral
11974	Neutral	Neutral
8715	Joy	Joy
7460	Sadness	Sadness
12681	Neutral	Neutral
9508	Neutral	Neutral
7538	Neutral	Neutral
10165	Neutral	Neutral
11851	Neutral	Neutral
12079	Sadness	Sadness
8926	Joy	Joy
11458	Neutral	Neutral
9092	Anger	Anger
9769	Sadness	Neutral
12455	Neutral	Neutral
11517	Joy	Neutral
11057	Fear	Neutral
11973	Anger	Neutral
8008	Fear	Fear
9905	Anger	Anger
7539	Joy	Joy
7100	Anger	Anger
7543	Neutral	Neutral
9978	Joy	Joy
11464	Love	Love
11540	Neutral	Neutral
12464	Neutral	Neutral
12701	Neutral	Neutral
12365	Joy	Joy
9453	Joy	Joy
12566	Sadness	Sadness
7871	Neutral	Neutral
10994	Neutral	Neutral
10195	Joy	Joy
10312	Love	Love
11652	Sadness	Sadness
8832	Joy	Joy
7403	Neutral	Neutral
12330	Neutral	Neutral
7113	Joy	Joy
10384	Anger	Anger
6812	Joy	Neutral
9954	Anger	Anger
6935	Joy	Joy
7260	Anger	Anger
12781	Joy	Joy
9886	Anger	Anger
11766	Joy	Joy
10637	Fear	Fear
12095	Anger	Neutral
9500	Sadness	Neutral
6673	Joy	Joy
11342	Joy	Joy
7025	Neutral	Neutral
