ID	Labels
6063	Fear
5497	Neutral
5776	Anger
6482	Neutral
4968	Sadness
4129	Fear
5550	Love
6565	Sadness
5119	Sadness
5463	Joy
4143	Joy
4926	Anger
4484	Joy
6444	Sadness
4702	Love
6190	Love
5634	Sadness
4107	Anger
5753	Anger
4162	Anger
5011	Joy
6124	Sadness
5375	Joy
4158	Neutral
4589	Sadness
4719	Sadness
4946	Anger
4249	Neutral
6523	Sadness
5346	Anger
5692	Fear
4368	Joy
4831	Neutral
5142	Anger
4148	Love
4353	Joy
4804	Neutral
4475	Fear
4522	Joy
4187	Sadness
4155	Love
5554	Sadness
4489	Anger
5549	Joy
5734	Joy
5298	Anger
5010	Neutral
6325	Anger
6191	Joy
4885	Neutral
5720	Joy
5850	Anger
5088	Anger
4429	Sadness
6231	Joy
5272	Joy
5007	Joy
5813	Joy
6200	Anger
4651	Sadness
6586	Neutral
6194	Neutral
5617	Love
6011	Sadness
4605	Neutral
5963	Joy
4520	Anger
4451	Joy
6075	Anger
6104	Sadness
6553	Sadness
5321	Joy
5107	Anger
5071	Joy
5769	Neutral
4196	Anger
4276	Sadness
5485	Neutral
5884	Neutral
5742	Sadness
5693	Neutral
5700	Sadness
6091	Joy
6164	Neutral
4088	Anger
6551	Joy
4177	Anger
5968	Neutral
5418	Sadness
6329	Joy
6168	Love
5928	Sadness
4902	Sadness
4927	Love
6207	Joy
4387	Joy
4959	Neutral
6285	Anger
4125	Joy
4643	Love
4550	Anger
5991	Love
4330	Neutral
4780	Joy
4400	Joy
5290	Joy
4991	Anger
5144	Anger
4889	Joy
5650	Joy
5846	Anger
5434	Anger
5783	Fear
4169	Joy
4338	Anger
4218	Joy
4748	Love
5875	Joy
5333	Sadness
5583	Sadness
6455	Joy
5403	Sadness
4348	Sadness
5819	Neutral
5216	Joy
5621	Anger
4610	Joy
4696	Sadness
5265	Neutral
6247	Joy
5400	Anger
4625	Joy
4524	Joy
4132	Joy
4746	Anger
5735	Neutral
5787	Joy
5580	Neutral
5785	Sadness
6540	Anger
5268	Anger
4949	Joy
5319	Love
4912	Joy
4319	Anger
4164	Sadness
4402	Joy
6433	Anger
32	Joy
294	Joy
760	Joy
248	Joy
770	Neutral
803	Sadness
744	Neutral
866	Love
1318	Anger
149	Neutral
1073	Joy
1013	Joy
731	Anger
656	Neutral
