ID	Labels
10936	Joy
7004	Neutral
6877	Sadness
8555	Neutral
7878	Neutral
6635	Anger
6995	Anger
10013	Neutral
10041	Anger
8652	Neutral
12048	Neutral
9359	Joy
7459	Anger
7220	Love
6761	Sadness
12041	Joy
7952	Neutral
9083	Neutral
12714	Love
12376	Neutral
7128	Joy
9759	Anger
10132	Joy
9836	Sadness
11708	Joy
12641	Joy
8363	Neutral
10808	Neutral
9373	Neutral
7222	Anger
12584	Neutral
10212	Joy
7944	Anger
10191	Joy
11960	Neutral
10208	Anger
9793	Neutral
10562	Joy
11939	Neutral
11273	Joy
12131	Neutral
8708	Neutral
7968	Joy
7994	Anger
11013	Neutral
8353	Neutral
11439	Joy
10067	Joy
9820	Neutral
10169	Neutral
8995	Neutral
10613	Neutral
8103	Neutral
10200	Joy
7910	Anger
7254	Joy
12569	Neutral
9381	Anger
7682	Neutral
9280	Neutral
10177	Neutral
6727	Neutral
9347	Neutral
9821	Neutral
8628	Sadness
12251	Neutral
11633	Joy
6880	Neutral
6624	Neutral
11333	Neutral
9725	Neutral
8568	Anger
10938	Neutral
12612	Anger
12824	Anger
12379	Neutral
7603	Anger
12013	Neutral
7309	Neutral
10088	Joy
11384	Sadness
9255	Neutral
12799	Neutral
12806	Neutral
10424	Neutral
9031	Anger
12386	Neutral
7171	Neutral
7791	Sadness
7708	Anger
9644	Neutral
8024	Sadness
9549	Anger
7239	Joy
9938	Neutral
8694	Joy
12497	Neutral
6628	Joy
11152	Neutral
10145	Neutral
7764	Joy
10245	Anger
8336	Neutral
10757	Neutral
9133	Sadness
9395	Joy
6604	Anger
10429	Love
9037	Neutral
12105	Neutral
12273	Neutral
8842	Anger
7298	Love
6788	Neutral
8206	Joy
10246	Joy
11864	Neutral
6695	Joy
11472	Neutral
9629	Sadness
10377	Neutral
9327	Joy
9558	Neutral
7676	Joy
8188	Neutral
8077	Neutral
9545	Joy
9406	Neutral
8307	Sadness
11974	Neutral
8715	Joy
7460	Anger
12681	Neutral
9508	Neutral
7538	Sadness
10165	Anger
11851	Neutral
12079	Sadness
8926	Joy
11458	Neutral
9092	Neutral
9769	Joy
12455	Neutral
11517	Joy
11057	Love
11973	Neutral
8008	Neutral
9905	Anger
7539	Joy
7100	Anger
7543	Neutral
9978	Joy
11464	Love
11540	Joy
12464	Joy
12701	Neutral
12365	Neutral
9453	Joy
12566	Neutral
7871	Neutral
10994	Neutral
10195	Neutral
10312	Love
11652	Anger
8832	Neutral
7403	Neutral
12330	Neutral
7113	Joy
10384	Anger
6812	Anger
9954	Anger
6935	Joy
7260	Anger
12781	Neutral
9886	Anger
11766	Joy
10637	Joy
12095	Joy
9500	Neutral
6673	Joy
11342	Neutral
7025	Neutral
11310	Anger
10353	Neutral
7078	Neutral
7794	Anger
12542	Neutral
10879	Neutral
11770	Neutral
7927	Joy
8912	Neutral
10677	Anger
11800	Joy
7734	Neutral
7055	Anger
8046	Neutral
7482	Joy
6659	Neutral
7126	Sadness
7122	Neutral
12339	Neutral
10046	Joy
8045	Neutral
9674	Neutral
9227	Joy
9058	Neutral
8833	Neutral
8417	Joy
11552	Neutral
10139	Love
10385	Neutral
8702	Anger
11052	Neutral
8080	Neutral
8338	Neutral
6745	Anger
12004	Neutral
9230	Anger
11845	Neutral
10579	Joy
10660	Joy
9425	Neutral
10873	Joy
9016	Neutral
8490	Neutral
11233	Neutral
10715	Neutral
8656	Neutral
10558	Neutral
7746	Anger
11732	Neutral
12508	Neutral
8139	Joy
9296	Sadness
12480	Neutral
9127	Neutral
8293	Anger
12304	Joy
1023	Neutral
347	Joy
581	Joy
237	Joy
507	Sadness
123	Neutral
965	Sadness
619	Neutral
234	Neutral
1198	Neutral
1184	Neutral
804	Joy
963	Joy
488	Sadness
303	Neutral
1069	Neutral
1101	Joy
761	Neutral
137	Joy
893	Joy
210	Joy
971	Joy
1309	Neutral
975	Love
899	Neutral
958	Joy
1132	Sadness
255	Joy
201	Neutral
1324	Joy
39	Neutral
700	Neutral
828	Joy
1181	Love
895	Neutral
268	Neutral
1268	Joy
515	Neutral
1045	Neutral
493	Neutral
960	Joy
577	Neutral
727	Joy
433	Neutral
287	Neutral
969	Sadness
44	Neutral
1002	Neutral
1039	Sadness
1007	Neutral
409	Neutral
1089	Joy
462	Neutral
1276	Anger
428	Joy
863	Joy
1119	Joy
988	Neutral
712	Neutral
455	Neutral
1162	Joy
1102	Neutral
85	Joy
901	Neutral
737	Neutral
53	Neutral
478	Joy
156	Neutral
914	Love
80	Neutral
657	Neutral
1163	Neutral
70	Joy
1287	Joy
336	Love
1079	Joy
315	Joy
441	Joy
1091	Neutral
540	Joy
1092	Sadness
1059	Neutral
1182	Joy
1117	Neutral
222	Neutral
1011	Neutral
629	Neutral
984	Neutral
1258	Love
978	Joy
954	Neutral
844	Joy
1157	Neutral
650	Joy
144	Sadness
529	Joy
607	Neutral
203	Neutral
1246	Neutral
325	Neutral
505	Joy
150	Neutral
622	Neutral
96	Neutral
951	Joy
805	Joy
1015	Neutral
927	Joy
831	Neutral
180	Joy
1197	Neutral
93	Neutral
1085	Joy
520	Love
874	Neutral
1057	Anger
375	Neutral
1	Love
832	Neutral
1289	Joy
587	Anger
826	Joy
970	Neutral
125	Neutral
882	Neutral
212	Neutral
976	Neutral
240	Neutral
1081	Neutral
542	Joy
23	Neutral
401	Neutral
501	Neutral
711	Love
436	Sadness
807	Anger
987	Neutral
549	Neutral
853	Joy
204	Joy
1109	Neutral
908	Joy
86	Sadness
38	Neutral
1227	Love
871	Neutral
338	Neutral
100	Sadness
1291	Neutral
208	Joy
87	Neutral
1022	Neutral
223	Joy
249	Joy
1106	Neutral
185	Anger
89	Neutral
652	Neutral
926	Joy
585	Neutral
1256	Anger
676	Sadness
442	Neutral
364	Neutral
1000	Neutral
945	Sadness
332	Neutral
948	Neutral
4	Sadness
8	Joy
792	Anger
1172	Neutral
1230	Neutral
856	Neutral
1166	Joy
1236	Joy
643	Neutral
890	Sadness
647	Joy
554	Anger
270	Neutral
445	Neutral
135	Joy
182	Neutral
1019	Neutral
678	Neutral
519	Joy
1146	Neutral
443	Joy
318	Sadness
71	Neutral
994	Joy
624	Neutral
1005	Neutral
377	Anger
97	Joy
1061	Joy
486	Neutral
833	Sadness
725	Joy
339	Anger
247	Neutral
130	Joy
256	Joy
525	Sadness
132	Neutral
1088	Neutral
49	Neutral
763	Anger
1290	Neutral
40	Joy
1229	Sadness
1158	Neutral
1264	Neutral
218	Joy
250	Joy
115	Anger
1242	Neutral
759	Neutral
309	Anger
539	Anger
238	Neutral
902	Neutral
190	Sadness
1232	Neutral
1021	Joy
2	Neutral
88	Neutral
171	Joy
148	Neutral
251	Neutral
1025	Neutral
574	Joy
411	Neutral
521	Joy
670	Joy
1161	Joy
573	Neutral
1179	Joy
601	Joy
896	Joy
934	Joy
932	Anger
54	Neutral
786	Sadness
565	Sadness
1075	Joy
421	Joy
1222	Sadness
473	Joy
19	Neutral
221	Neutral
110	Neutral
430	Neutral
116	Neutral
563	Neutral
181	Neutral
1026	Sadness
593	Neutral
467	Joy
937	Anger
175	Neutral
820	Neutral
63	Joy
1111	Sadness
46	Joy
668	Neutral
1036	Joy
77	Joy
947	Neutral
43	Joy
765	Neutral
615	Joy
226	Joy
33	Sadness
215	Joy
1300	Neutral
1321	Neutral
1220	Joy
679	Joy
41	Sadness
560	Joy
1150	Joy
1196	Neutral
6	Joy
10	Joy
911	Joy
12	Joy
1260	Anger
83	Neutral
1168	Neutral
161	Sadness
94	Neutral
1004	Joy
824	Joy
721	Neutral
84	Neutral
214	Neutral
1303	Neutral
846	Joy
1239	Neutral
397	Sadness
524	Joy
302	Neutral
346	Neutral
3	Joy
447	Joy
840	Neutral
239	Anger
802	Sadness
611	Neutral
1195	Neutral
429	Joy
811	Love
620	Joy
1238	Neutral
690	Joy
1118	Neutral
216	Sadness
879	Neutral
266	Sadness
31	Neutral
1003	Neutral
883	Neutral
781	Sadness
511	Neutral
311	Anger
616	Neutral
65	Neutral
1134	Joy
822	Sadness
991	Neutral
547	Joy
464	Neutral
1028	Joy
341	Joy
1154	Neutral
1191	Anger
1189	Joy
458	Sadness
1203	Neutral
834	Joy
330	Neutral
671	Neutral
167	Neutral
1072	Sadness
275	Joy
264	Neutral
1010	Neutral
1040	Neutral
1149	Love
491	Sadness
910	Sadness
427	Anger
536	Neutral
931	Neutral
771	Neutral
1241	Joy
60	Joy
982	Neutral
159	Neutral
415	Joy
1247	Joy
1294	Neutral
422	Neutral
710	Joy
999	Joy
47	Neutral
228	Joy
1173	Sadness
1200	Anger
398	Neutral
403	Joy
124	Joy
514	Neutral
297	Neutral
121	Sadness
114	Neutral
702	Joy
1176	Joy
1097	Sadness
817	Neutral
912	Neutral
369	Neutral
1096	Anger
395	Neutral
880	Neutral
839	Anger
872	Neutral
72	Neutral
735	Neutral
13	Neutral
532	Joy
545	Neutral
523	Joy
164	Love
1199	Neutral
265	Neutral
176	Neutral
57	Neutral
