ID	Labels
10936	Joy
7004	Joy
6877	Joy
8555	Neutral
7878	Neutral
6635	Anger
6995	Anger
10013	Joy
10041	Neutral
8652	Neutral
12048	Joy
9359	Neutral
7459	Sadness
7220	Joy
6761	Neutral
12041	Neutral
7952	Neutral
9083	Anger
12714	Love
12376	Neutral
7128	Joy
9759	Anger
10132	Joy
9836	Neutral
11708	Joy
12641	Neutral
8363	Joy
10808	Neutral
9373	Neutral
7222	Neutral
12584	Neutral
10212	Joy
7944	Fear
10191	Joy
11960	Neutral
10208	Love
9793	Joy
10562	Joy
11939	Fear
11273	Neutral
12131	Neutral
8708	Joy
7968	Neutral
7994	Sadness
11013	Joy
8353	Fear
11439	Neutral
10067	Neutral
9820	Neutral
10169	Anger
8995	Neutral
10613	Neutral
8103	Neutral
10200	Neutral
7910	Anger
7254	Joy
12569	Love
9381	Anger
7682	Neutral
9280	Neutral
10177	Neutral
6727	Neutral
9347	Neutral
9821	Neutral
8628	Sadness
12251	Neutral
11633	Joy
6880	Joy
6624	Neutral
11333	Neutral
9725	Neutral
8568	Joy
10938	Neutral
12612	Joy
12824	Sadness
12379	Neutral
7603	Fear
12013	Neutral
7309	Neutral
10088	Joy
11384	Joy
9255	Neutral
12799	Sadness
12806	Fear
10424	Fear
9031	Anger
12386	Neutral
7171	Joy
7791	Joy
7708	Anger
9644	Fear
8024	Fear
9549	Neutral
7239	Neutral
9938	Neutral
8694	Joy
12497	Neutral
6628	Neutral
11152	Anger
10145	Joy
7764	Anger
10245	Anger
8336	Neutral
10757	Joy
9133	Fear
9395	Neutral
6604	Anger
10429	Sadness
9037	Joy
12105	Neutral
12273	Joy
8842	Anger
7298	Joy
6788	Anger
8206	Anger
10246	Neutral
11864	Neutral
6695	Joy
11472	Neutral
9629	Sadness
10377	Sadness
9327	Joy
9558	Neutral
7676	Neutral
8188	Sadness
8077	Neutral
9545	Joy
9406	Neutral
8307	Neutral
11974	Neutral
8715	Joy
7460	Sadness
12681	Neutral
9508	Neutral
7538	Neutral
10165	Neutral
11851	Neutral
12079	Sadness
8926	Joy
11458	Neutral
