ID	Labels	InitialLabels
10936	Joy	Joy
7004	Neutral	Joy
6877	Neutral	Anger
8555	Neutral	Neutral
7878	Neutral	Neutral
6635	Fear	Anger
6995	Sadness	Anger
10013	Joy	Joy
10041	Neutral	Neutral
8652	Neutral	Neutral
12048	Joy	Joy
9359	Neutral	Neutral
7459	Anger	Neutral
7220	Joy	Joy
6761	Neutral	Neutral
12041	Neutral	Joy
7952	Neutral	Neutral
9083	Neutral	Anger
12714	Love	Love
12376	Neutral	Sadness
7128	Joy	Joy
9759	Neutral	Anger
10132	Joy	Joy
9836	Neutral	Sadness
11708	Joy	Joy
12641	Neutral	Anger
8363	Joy	Joy
10808	Neutral	Joy
9373	Neutral	Neutral
7222	Sadness	Anger
12584	Neutral	Neutral
10212	Joy	Sadness
7944	Fear	Neutral
10191	Joy	Joy
11960	Neutral	Neutral
10208	Neutral	Love
9793	Neutral	Joy
10562	Neutral	Joy
11939	Fear	Fear
11273	Neutral	Neutral
12131	Neutral	Neutral
8708	Neutral	Joy
7968	Neutral	Neutral
7994	Anger	Sadness
11013	Joy	Neutral
8353	Neutral	Anger
11439	Joy	Neutral
10067	Neutral	Joy
9820	Neutral	Neutral
10169	Neutral	Anger
8995	Neutral	Fear
10613	Neutral	Neutral
8103	Neutral	Neutral
10200	Neutral	Neutral
7910	Neutral	Anger
7254	Joy	Joy
12569	Neutral	Love
9381	Neutral	Anger
7682	Neutral	Neutral
9280	Neutral	Neutral
10177	Neutral	Neutral
6727	Neutral	Neutral
9347	Neutral	Neutral
9821	Joy	Joy
8628	Neutral	Sadness
12251	Neutral	Neutral
11633	Joy	Joy
6880	Neutral	Joy
6624	Neutral	Neutral
11333	Neutral	Neutral
9725	Neutral	Neutral
8568	Joy	Joy
10938	Neutral	Neutral
12612	Joy	Joy
12824	Neutral	Sadness
12379	Neutral	Neutral
7603	Neutral	Fear
12013	Neutral	Neutral
7309	Neutral	Neutral
10088	Neutral	Neutral
11384	Joy	Joy
9255	Neutral	Neutral
12799	Neutral	Neutral
12806	Fear	Neutral
10424	Fear	Neutral
9031	Anger	Anger
12386	Neutral	Neutral
7171	Neutral	Joy
7791	Neutral	Neutral
7708	Sadness	Anger
9644	Fear	Neutral
8024	Fear	Fear
9549	Neutral	Neutral
7239	Neutral	Neutral
9938	Neutral	Neutral
8694	Neutral	Joy
12497	Neutral	Sadness
6628	Neutral	Neutral
11152	Neutral	Anger
10145	Joy	Joy
7764	Neutral	Sadness
10245	Sadness	Anger
8336	Neutral	Neutral
10757	Neutral	Neutral
9133	Anxiety	Fear
9395	Neutral	Neutral
6604	Sadness	Anger
10429	Neutral	Sadness
9037	Neutral	Joy
12105	Neutral	Joy
12273	Joy	Neutral
8842	Anger	Anger
7298	Joy	Joy
6788	Anger	Neutral
8206	Neutral	Neutral
10246	Joy	Neutral
11864	Neutral	Neutral
6695	Joy	Joy
11472	Neutral	Neutral
9629	Sadness	Fear
10377	Neutral	Sadness
9327	Neutral	Joy
9558	Neutral	Neutral
7676	Neutral	Joy
8188	Sadness	Fear
8077	Neutral	Neutral
9545	Joy	Fear
9406	Neutral	Neutral
8307	Neutral	Neutral
11974	Neutral	Neutral
8715	Joy	Joy
7460	Neutral	Sadness
12681	Neutral	Neutral
9508	Neutral	Neutral
7538	Neutral	Neutral
10165	Neutral	Neutral
11851	Neutral	Neutral
12079	Sadness	Sadness
8926	Joy	Joy
11458	Neutral	Neutral
9092	Neutral	Anger
9769	Sadness	Neutral
12455	Neutral	Neutral
11517	Joy	Neutral
11057	Fear	Neutral
11973	Anger	Neutral
8008	Neutral	Fear
9905	Sadness	Anger
7539	Neutral	Joy
7100	Neutral	Anger
7543	Neutral	Neutral
9978	Neutral	Joy
11464	Neutral	Love
11540	Neutral	Neutral
12464	Neutral	Neutral
12701	Neutral	Neutral
12365	Neutral	Joy
9453	Joy	Joy
12566	Anger	Sadness
7871	Neutral	Neutral
10994	Neutral	Neutral
10195	Neutral	Joy
10312	Joy	Love
11652	Neutral	Sadness
8832	Love	Joy
7403	Neutral	Neutral
12330	Neutral	Neutral
7113	Joy	Joy
10384	Sadness	Anger
6812	Joy	Neutral
9954	Neutral	Anger
6935	Joy	Joy
7260	Sadness	Anger
12781	Joy	Joy
9886	Anger	Anger
11766	Joy	Joy
10637	Fear	Fear
12095	Anger	Neutral
9500	Sadness	Neutral
6673	Neutral	Joy
11342	Joy	Joy
7025	Neutral	Neutral
11310	Anger	Joy
10353	Neutral	Neutral
7078	Neutral	Neutral
7794	Anger	Sadness
12542	Neutral	Neutral
10879	Neutral	Neutral
11770	Neutral	Neutral
7927	Neutral	Fear
8912	Sadness	Sadness
10677	Neutral	Neutral
11800	Neutral	Joy
7734	Neutral	Joy
7055	Anger	Anger
8046	Neutral	Neutral
7482	Neutral	Anger
6659	Joy	Joy
7126	Anger	Sadness
7122	Neutral	Neutral
12339	Neutral	Anger
10046	Joy	Joy
8045	Neutral	Neutral
9674	Sadness	Fear
9227	Neutral	Neutral
9058	Neutral	Neutral
8833	Neutral	Neutral
8417	Neutral	Joy
11552	Sadness	Sadness
10139	Joy	Joy
10385	Neutral	Neutral
8702	Neutral	Anger
11052	Neutral	Joy
8080	Sadness	Anger
8338	Neutral	Neutral
6745	Neutral	Neutral
12004	Neutral	Joy
9230	Neutral	Anger
11845	Neutral	Neutral
10579	Neutral	Joy
10660	Joy	Joy
9425	Neutral	Neutral
10873	Joy	Joy
9016	Neutral	Neutral
8490	Neutral	Joy
11233	Neutral	Neutral
10715	Neutral	Neutral
8656	Neutral	Neutral
10558	Neutral	Joy
7746	Anger	Sadness
11732	Anger	Anger
12508	Joy	Joy
8139	Neutral	Joy
9296	Neutral	Neutral
12480	Neutral	Neutral
9127	Neutral	Neutral
8293	Anger	Joy
12304	Neutral	Joy
1023	Neutral	Neutral
347	Neutral	Joy
581	Joy	Joy
237	Love	Love
507	Neutral	Sadness
123	Anger	Anger
965	Sadness	Sadness
619	Neutral	Anger
234	Neutral	Neutral
1198	Neutral	Sadness
1184	Neutral	Love
804	Joy	Joy
963	Joy	Joy
488	Sadness	Sadness
303	Neutral	Anger
1069	Neutral	Anger
1101	Joy	Joy
761	Sadness	Neutral
137	Sadness	Anger
893	Neutral	Joy
210	Anger	Anger
971	Joy	Joy
1309	Anger	Fear
975	Love	Joy
899	Neutral	Neutral
958	Joy	Joy
1132	Love	Love
255	Sadness	Joy
201	Neutral	Joy
1324	Love	Joy
39	Neutral	Neutral
700	Neutral	Neutral
828	Love	Neutral
1181	Sadness	Sadness
895	Neutral	Neutral
268	Joy	Joy
1268	Joy	Joy
515	Neutral	Anger
1045	Neutral	Neutral
493	Neutral	Neutral
960	Sadness	Sadness
577	Neutral	Neutral
727	Neutral	Fear
433	Neutral	Neutral
287	Neutral	Joy
969	Sadness	Anger
44	Neutral	Neutral
1002	Anger	Anger
1039	Sadness	Sadness
1007	Anger	Sadness
409	Neutral	Joy
1089	Anger	Sadness
462	Neutral	Neutral
1276	Anger	Neutral
428	Neutral	Joy
863	Joy	Joy
1119	Joy	Joy
988	Neutral	Neutral
712	Neutral	Love
455	Neutral	Anger
1162	Love	Love
1102	Neutral	Neutral
85	Neutral	Anger
901	Sadness	Anger
737	Neutral	Neutral
53	Neutral	Neutral
478	Love	Love
156	Anger	Anger
914	Love	Love
80	Neutral	Fear
657	Neutral	Neutral
1163	Neutral	Anger
70	Neutral	Neutral
1287	Joy	Love
336	Joy	Joy
1079	Joy	Love
315	Neutral	Sadness
441	Neutral	Anger
1091	Neutral	Neutral
540	Neutral	Sadness
1092	Anger	Sadness
1059	Sadness	Neutral
1182	Neutral	Anger
1117	Neutral	Neutral
222	Neutral	Neutral
1011	Neutral	Joy
629	Neutral	Neutral
984	Sadness	Neutral
1258	Love	Love
978	Joy	Neutral
954	Neutral	Sadness
844	Joy	Joy
1157	Neutral	Joy
650	Joy	Joy
144	Neutral	Anger
529	Love	Love
607	Neutral	Neutral
203	Neutral	Anger
1246	Neutral	Neutral
325	Neutral	Neutral
505	Anger	Anger
150	Neutral	Anger
622	Anger	Anger
96	Sadness	Sadness
951	Anger	Fear
805	Anger	Joy
1015	Fear	Fear
927	Joy	Love
831	Neutral	Neutral
180	Neutral	Anger
1197	Neutral	Neutral
93	Neutral	Neutral
1085	Joy	Joy
520	Joy	Joy
874	Sadness	Anger
1057	Anger	Anger
375	Neutral	Neutral
1	Joy	Joy
832	Neutral	Neutral
1289	Anger	Joy
587	Anger	Anger
826	Fear	Sadness
970	Neutral	Neutral
125	Love	Love
882	Sadness	Sadness
212	Neutral	Neutral
976	Joy	Joy
240	Sadness	Anger
1081	Neutral	Joy
542	Joy	Joy
23	Sadness	Sadness
401	Neutral	Sadness
501	Neutral	Neutral
711	Love	Fear
436	Fear	Fear
807	Sadness	Anger
987	Neutral	Neutral
549	Neutral	Neutral
853	Love	Love
204	Joy	Joy
1109	Neutral	Neutral
908	Sadness	Joy
86	Neutral	Anger
38	Neutral	Neutral
1227	Joy	Joy
871	Anger	Anger
338	Neutral	Neutral
100	Fear	Neutral
1291	Neutral	Neutral
208	Joy	Joy
87	Anger	Neutral
1022	Sadness	Sadness
223	Love	Love
249	Joy	Joy
1106	Neutral	Neutral
185	Sadness	Anger
89	Neutral	Joy
652	Neutral	Neutral
926	Neutral	Joy
585	Neutral	Anger
1256	Anger	Anger
676	Sadness	Fear
442	Anger	Anger
364	Joy	Joy
1000	Anger	Anger
945	Joy	Fear
332	Neutral	Joy
948	Sadness	Love
4	Sadness	Anger
8	Neutral	Neutral
792	Neutral	Anger
1172	Anger	Anger
1230	Anger	Neutral
856	Anger	Anger
1166	Joy	Joy
1236	Sadness	Sadness
643	Neutral	Neutral
890	Fear	Fear
647	Joy	Joy
554	Anger	Anger
270	Neutral	Sadness
445	Neutral	Neutral
135	Neutral	Love
182	Neutral	Neutral
1019	Fear	Anger
678	Sadness	Anger
519	Love	Love
1146	Neutral	Neutral
443	Joy	Love
318	Sadness	Anger
71	Neutral	Neutral
994	Neutral	Anger
624	Neutral	Neutral
1005	Neutral	Anger
377	Anger	Anger
97	Joy	Joy
1061	Anger	Joy
486	Anger	Anger
833	Sadness	Sadness
725	Neutral	Neutral
339	Sadness	Anger
247	Neutral	Neutral
130	Anger	Joy
256	Sadness	Anger
525	Sadness	Neutral
132	Anger	Anger
1088	Neutral	Neutral
49	Neutral	Joy
763	Anger	Anger
1290	Neutral	Neutral
40	Joy	Joy
1229	Sadness	Sadness
1158	Neutral	Neutral
1264	Neutral	Anger
218	Neutral	Joy
250	Fear	Fear
115	Anger	Sadness
1242	Anger	Fear
759	Neutral	Joy
309	Anger	Anger
539	Anger	Anger
238	Neutral	Neutral
902	Neutral	Anger
190	Joy	Anger
1232	Neutral	Sadness
1021	Neutral	Neutral
2	Neutral	Joy
88	Neutral	Neutral
171	Sadness	Anger
148	Neutral	Anger
251	Neutral	Anger
1025	Joy	Joy
574	Neutral	Joy
411	Sadness	Sadness
521	Love	Love
670	Joy	Joy
1161	Joy	Anger
573	Neutral	Joy
1179	Joy	Joy
601	Sadness	Anger
896	Love	Love
934	Joy	Neutral
932	Anger	Anger
54	Neutral	Joy
786	Fear	Sadness
565	Neutral	Sadness
1075	Joy	Joy
421	Joy	Love
1222	Sadness	Anger
473	Neutral	Joy
19	Anger	Anger
221	Neutral	Neutral
110	Neutral	Joy
430	Neutral	Neutral
116	Neutral	Sadness
563	Joy	Joy
181	Joy	Joy
1026	Anger	Anger
593	Neutral	Fear
467	Neutral	Joy
937	Anger	Anger
175	Neutral	Neutral
820	Neutral	Neutral
63	Joy	Joy
1111	Sadness	Sadness
46	Neutral	Anger
668	Love	Neutral
1036	Neutral	Joy
77	Love	Love
947	Neutral	Anger
43	Neutral	Neutral
765	Neutral	Neutral
615	Love	Joy
226	Neutral	Anger
33	Sadness	Anger
215	Neutral	Anger
1300	Anger	Joy
1321	Neutral	Neutral
1220	Love	Joy
679	Neutral	Anger
41	Neutral	Anger
560	Love	Joy
1150	Neutral	Anger
1196	Anger	Anger
6	Joy	Joy
10	Joy	Joy
911	Neutral	Joy
12	Neutral	Joy
1260	Sadness	Anger
83	Neutral	Neutral
1168	Neutral	Anger
161	Sadness	Anger
94	Neutral	Neutral
1004	Neutral	Joy
824	Joy	Joy
721	Neutral	Sadness
84	Neutral	Fear
214	Neutral	Anger
1303	Anger	Sadness
846	Neutral	Joy
