ID	Labels	InitialLabels
10936	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
7004	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
6877	Neutral	Neutral
8555	Neutral	Neutral
7878	Neutral	Neutral
6635	Anger	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
6995	Anger	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
10013	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
10041	Neutral	Neutral
8652	Neutral	Neutral
12048	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
9359	Neutral	Neutral
7459	Neutral	Neutral
7220	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
6761	Neutral	Neutral
12041	Neutral	Neutral
7952	Neutral	Neutral
9083	Anger	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
12714	Love	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
12376	Neutral	Neutral
7128	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
9759	Anger	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
10132	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
9836	Anger	Neutral
11708	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
12641	Neutral	Neutral
8363	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
10808	Neutral	Neutral
9373	Neutral	Neutral
7222	Anger	Neutral
12584	Neutral	Neutral
10212	Joy	Neutral
7944	Fear	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
10191	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
11960	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
10208	Neutral	Neutral
9793	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
10562	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
11939	Fear	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
11273	Neutral	Neutral
12131	Neutral	Neutral
8708	Neutral	Neutral
7968	Neutral	Neutral
7994	Sadness	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
11013	Joy	Neutral
8353	Anger	Neutral
11439	Neutral	Neutral
10067	Neutral	Neutral
9820	Neutral	Neutral
10169	Anger	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
8995	Neutral	Neutral
10613	Neutral	Neutral
8103	Neutral	Neutral
10200	Neutral	Neutral
7910	Anger	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
7254	Joy	ONLY_CHECKED_ONCE_NO_INITIAL_LABEL
